,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
251,Sophie,8,2,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
252,Kate,8,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
253,Steven,8,2,Baker was the Star Baker.,False,True,False,False,False,False,False
254,Stacey,8,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
255,Liam,8,2,Baker got through to the next round.,False,False,True,False,False,False,False
256,Yan,8,2,Baker got through to the next round.,False,False,True,False,False,False,False
257,Julia,8,2,Baker got through to the next round.,False,False,True,False,False,False,False
258,James,8,2,Baker got through to the next round.,False,False,True,False,False,False,False
259,Tom,8,2,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
260,Flo,8,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
261,Chris,8,2,Baker was eliminated.,True,False,False,False,False,False,False
262,Peter,8,2,out,False,False,False,False,False,False,False
263,Edd,1,2, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
264,Ruth,1,2, Baker got through to the next round,False,False,True,False,False,False,False
265,Miranda,1,2, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
266,Jasminder,1,2, Baker got through to the next round,False,False,True,False,False,False,False
267,David,1,2," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
268,Jonathan,1,2, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
269,Annetha,1,2, Baker was eliminated,True,False,False,False,False,False,False
270,Louise,1,2, Baker was eliminated,True,False,False,False,False,False,False
271,Lea,1,2,out,False,False,False,False,False,False,False
272,Mark,1,2,out,False,False,False,False,False,False,False
273,Nadiya,6,2,Baker got through to the next round.,False,False,True,False,False,False,False
274,Ian,6,2,Baker was the Star Baker.,False,True,False,False,False,False,False
275,Tamal,6,2,Baker got through to the next round.,False,False,True,False,False,False,False
276,Flora,6,2,Baker got through to the next round.,False,False,True,False,False,False,False
277,Paul,6,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
278,Mat,6,2,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
279,Alvin,6,2,Baker got through to the next round.,False,False,True,False,False,False,False
280,Ugnė,6,2,Baker got through to the next round.,False,False,True,False,False,False,False
281,Sandy,6,2,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
282,Dorret,6,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
283,Marie,6,2,Baker was eliminated.,True,False,False,False,False,False,False
284,Stu,6,2,out,False,False,False,False,False,False,False
285,John,3,3, Baker got through to the next round,False,False,True,False,False,False,False
286,Brendan,3,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
287,James,3,3, Baker was the Star Baker,False,True,False,False,False,False,False
