,Unnamed: 0,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
63,0,Kate,Burrito Bedfordshire Clangers,2,'Liver Building Turret' Savoy Cake,8,forgotten bakes,8
64,1,Liam,'Take Out' Bedfordshire Clangers,5,'Fort Wizardore' Savoy Cake,8,forgotten bakes,8
65,2,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,4,Citrus with Green Apple Croquembouche Savoy Cake,8,forgotten bakes,8
66,3,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3,'Bright' Lemon & Orange Savoy Cake,8,forgotten bakes,8
67,4,Steven,'Mediterranean Medley' Bedfordshire Clangers,1,Chestnut Rum Savoy Cake,8,forgotten bakes,8
68,0,Kate,Bellini and Valencian Orange Choux Buns,4,'Rainbow' Meringue Centrepiece,9,patisserie,8
69,1,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1,'Tutu with Opera Filling' Meringue Centrepiece,9,patisserie,8
70,2,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,2,'Flamingos in Love' Meringue Centrepiece,9,patisserie,8
71,3,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,3,'Some Air Over the Rainbow' Meringue Centrepiece,9,patisserie,8
72,0,Kate,"Roman Spelt, Coconut Kala Chana and Flower Breads",3,"White Chocolate, Yuzu and Lychee Entremet",10,final,8
73,1,Sophie,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2,'Ode to the Honey Bee' Entremet,10,final,8
74,2,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1,'Yin Yang' Entremet,10,final,8
75,0,Beca,Gingerbread Latte Yule Log,3,Macaron Snowmen Globes,special,the big christmas bake off,8
76,1,Paul,Nutty About Christmas Yule Log,1,Penguins At Play Snow Globes,special,the big christmas bake off,8
77,2,Selasi,Souche de Noel,2,Chocolate Chestnut Wreath Globes,special,the big christmas bake off,8
78,3,Val,Black Forest Yule Log,4,Memory Lane Snow Globes,special,the big christmas bake off,8
79,0,Benjamina,Minty Mocha Tarts,3,Icy the Future,special,the big festive bake off,8
80,1,Rav,Frosty Ginger Bombe Tarts,1,Frozen Fantasy Cake,special,the big festive bake off,8
81,2,Rob,Warming Winter Spiced Apple Alaska Tarts,4,Frozen Mist Cake,special,the big festive bake off,8
82,3,Sandy,After Dinner Mint Surprise,2,Home for Christmas Cake,special,the big festive bake off,8
0,0,Annetha,Light Jamaican Black Cakewith Strawberries and Cream,2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",1,cakes,1
1,1,David,Chocolate Orange Cake,3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",1,cakes,1
2,2,Edd,Caramel Cinnamon and Banana Cake,1,,1,cakes,1
3,3,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,,,1,cakes,1
4,4,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,9,Three Tiered White and Dark Chocolate with Almond and Cherry,1,cakes,1
5,5,Lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,1,cakes,1
6,6,Louise,Carrot and Orange Cake,,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",1,cakes,1
7,7,Mark,Sticky Marmalade Tea Loaf,,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,1,cakes,1
8,8,Miranda,Triple Layered Brownie Meringue Cake with Raspberry Cream,8,Three Tiered Chocolate Fudge Cake with Handmade Chocolate Button Decorations,1,cakes,1
9,9,Ruth,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,1,cakes,1
10,0,Annetha,Rose Petal Shortbread,7,Pink Swirl Macarons / Eclairs,2,biscuits,1
11,1,David,Cheddar Cheese and Fresh Rosemary Biscuits,8,Choux Pastry Swans Chocolate Profiteroles,2,biscuits,1
12,2,Edd,Oatmeal Raisin Cookie,6,Pink Macarons,2,biscuits,1
13,3,Jasminder,Millionaires' Shortbread,2,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,2,biscuits,1
14,4,Jonathan,Honey and Candied Ginger Cookies,1,Meringues with Whiskey Cream,2,biscuits,1
15,5,Louise,Stained Glass Window Shortbread,4,"Strawberry, Mint, and Cream Meringues Chocolate Eclairs / Orange, Yellow and Pink Macarons",2,biscuits,1
16,6,Miranda,Fresh Vanilla Biscuits with Royal Icing,3,Pistachio Macarons,2,biscuits,1
17,7,Ruth,Peanut Shortbread withSalted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,2,biscuits,1
18,0,David,Chilli Bread,4,Walnut and Seed Roll Red Berry and Almond Bun,3,bread,1
19,1,Edd,Olive Bread,1,Tomato and Mozzarella,3,bread,1
20,2,Jasminder,Focaccia,5,Mango and Sultana Buns Pan au Chocolat with Mars Bars Tutti Frutti Wheel with Jelly Tots,3,bread,1
21,3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun Olive and Anchovy Roll Sundried Tomatoes and Fresh Herbs Roll Stilton, Walnut and Apple Roll Cinnamon and Cardamom Chelsea Bun",3,bread,1
22,4,Miranda,Walnut and Apricot Bread,3,Lemon Iced Buns Chocolate and Orange Buns,3,bread,1
23,5,Ruth,Maple and Pecan Bread,2,Chocolate and Orange Panettone Cranberry Bagels,3,bread,1
24,0,David,Pear and Walnut Pudding,5,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",4,puddings,1
25,1,Edd,Apple and Plum Pudding,3,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",4,puddings,1
26,2,Jasminder,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",4,puddings,1
27,3,Miranda,Sticky Toffee Pudding,1,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",4,puddings,1
28,4,Ruth,Peach and Blueberry Boy Bait,4,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",4,puddings,1
29,0,Edd,"Chicken, Ham, Leek and Tarragon Pie",2,"Almond Sweet Pastry with Ginger and Chocolate Raspberry Tart / Yorkshire Curd Tart Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",5,pastry,1
30,1,Jasminder,Chicken and Mushroom Pie,4,"Jaggery, Carrot, and Spiced Condensed Milk Tart Fruit and Custard Tart Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",5,pastry,1
31,2,Miranda,"Summery Salmon, Cod and Prawn Fish Pie",1,"Chocolate Pastry filled with Orange Cheesecake Chocolate Pastry filled with Milk Chocolate Ganche Strawberry Tart with Red Currant Glaze Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",5,pastry,1
32,3,Ruth,Minced Beef Pie,3,"Raspberry and Dark Chocolate Tart Creme Patisserie and Cherry Tart Citrus Curd Tart with Creme Brulee top Tomato, Asparagus Twirl Canapés",5,pastry,1
33,0,Edd,Cinnamon and Banana Cake,,24 Chocolate and Ginger Tarts 24 Lemon Scones with Passion Fruit Curd 24 Raspberry Choux Buns 24 Finger Sandwiches,6,tea party,1
34,1,Miranda,Lemon Cupcake,,,6,tea party,1
35,2,Ruth,"Mint, Ginger and Blackberry Cake",24242424,,6,tea party,1
0,0,Alvin,Orange Vanilla and Fig Madeira Cake,2,Black Forest Gâteau,1,cakes,6
1,1,Dorret,Madeira Cake with Candied Lemons,5,Enchanted Forest Gâteau,1,cakes,6
2,2,Flora,Blood Orange Madeira Cake,6,Black Forest Gâteau,1,cakes,6
3,3,Ian,Somewhere West of Madeira Cake,8,Black Forest Cherry Tree,1,cakes,6
4,4,Marie,Zingy Citrus Madeira Cake,3,A Walk in the Black Forest,1,cakes,6
5,5,Mat,Gin and Tonic Madeira Cake,7,Black Forest Gateau,1,cakes,6
6,6,Nadiya,Orange and Green Cardamom Madeira Cake,12,Quadruple Chocolate Black Forest Gâteau,1,cakes,6
7,7,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",10,Black Forest Chocolate Creation,1,cakes,6
8,8,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,9,Black Forest Gâteau,1,cakes,6
9,9,Stu,Marley Madeira Cake,11,Purple Forest Gâteau,1,cakes,6
10,10,Tamal,Pistachio and Rose Madeira Cake,4,Black Forest Gâteau in a Chocolate Shell,1,cakes,6
11,11,Ugnė,Lemon and Thyme Madeira Cake,1,Falling Cup Gâteau,1,cakes,6
12,0,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",6,Gingerbread Box filled with Brandy Snaps,2,biscuits,6
